id;name;size;monster_type;alignment;ac;hp;strength;str_mod;dex;dex_mod;con;con_mod;intel;int_mod;wis;wis_mod;cha;cha_mod;senses;languages;cr;str_save;dex_save;con_save;int_save;wis_save;cha_save;speed;swim;fly;climb;burrow;number_legendary_actions;history;perception;stealth;persuasion;insight;deception;arcana;religion;acrobatics;athletics;intimidation;image_source;image_name
0;Aboleth;Large;Aberration;lawful evil;17;135;21;5;9;-1;15;2;18;4;15;2;18;4;Darkvision 120 Ft., passive Perception 20;Deep Speech, Telepathy 120 Ft.;10;0;0;6;8;6;0;10;40;0;0;0;3;12;10;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/aboleth.jpg;aboleth.jpg
1;Acolyte;Medium;Humanoid (any race);any alignment;10;9;10;0;10;0;10;0;10;0;14;2;11;0;passive Perception 12;Any One Language (Usually Common);1/4;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2;Adult Black Dragon;Huge;Dragon;chaotic evil;19;195;23;6;14;2;21;5;14;2;13;1;17;3;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 21;Common, Draconic;14;0;7;10;0;6;8;40;40;80;0;0;3;0;11;7;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/black-dragon.jpg;black-dragon.jpg
3;Adult Blue Dragon;Huge;Dragon;lawful evil;19;225;25;7;10;0;23;6;16;3;15;2;19;4;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22;Common, Draconic;16;0;5;11;0;7;9;40;0;80;0;30;3;0;12;5;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/blue-dragon.jpg;blue-dragon.jpg
4;Adult Brass Dragon;Huge;Dragon;chaotic good;18;172;23;6;10;0;21;5;14;2;13;1;17;3;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 21;Common, Draconic;13;0;5;10;0;6;8;40;0;80;0;40;3;7;11;5;8;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/brass-dragon.jpg;brass-dragon.jpg
5;Adult Bronze Dragon;Huge;Dragon;lawful good;19;212;25;7;10;0;23;6;16;3;15;2;19;4;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22;Common, Draconic;15;0;5;11;0;7;9;40;40;80;0;0;3;0;12;5;0;7;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/bronze-dragon.jpg;bronze-dragon.jpg
6;Adult Copper Dragon;Huge;Dragon;chaotic good;18;184;23;6;12;1;21;5;18;4;15;2;17;3;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22;Common, Draconic;14;0;6;10;0;7;8;40;0;80;40;0;3;0;12;6;0;0;8;0;0;0;0;0;https://www.aidedd.org/dnd/images/copper-dragon.jpg;copper-dragon.jpg
7;Adult Gold Dragon;Huge;Dragon;lawful good;19;256;27;8;14;2;25;7;16;3;15;2;24;7;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 24;Common, Draconic;17;0;8;13;0;8;13;40;40;80;0;0;3;0;14;8;13;8;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/gold-dragon.jpg;gold-dragon.jpg
8;Adult Green Dragon;Huge;Dragon;lawful evil;19;207;23;6;12;1;21;5;18;4;15;2;17;3;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22;Common, Draconic;15;0;6;10;0;7;8;40;40;80;0;0;3;0;12;6;8;7;8;0;0;0;0;0;https://www.aidedd.org/dnd/images/green-dragon.jpg;green-dragon.jpg
9;Adult Red Dragon;Huge;Dragon;chaotic evil;19;256;27;8;10;0;25;7;16;3;13;1;21;5;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 23;Common, Draconic;17;0;6;13;0;7;11;40;0;80;40;0;3;0;13;6;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/red-dragon.jpg;red-dragon.jpg
10;Adult Silver Dragon;Huge;Dragon;lawful good;19;243;27;8;10;0;25;7;16;3;13;1;21;5;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 21;Common, Draconic;16;0;5;12;0;6;10;40;0;80;0;0;3;8;11;5;0;0;0;8;0;0;0;0;https://www.aidedd.org/dnd/images/silver-dragon.jpg;silver-dragon.jpg
11;Adult White Dragon;Huge;Dragon;chaotic evil;18;200;22;6;10;0;22;6;8;-1;12;1;12;1;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 21;Common, Draconic;13;0;5;11;0;6;6;40;40;80;0;30;3;0;11;5;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/white-dragon.jpg;white-dragon.jpg
12;Air Elemental;Large;Elemental;neutral;15;90;14;2;20;5;14;2;6;-2;10;0;6;-2;Darkvision 60 Ft., passive Perception 10;Auran;5;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/air-elemental.jpg;air-elemental.jpg
13;Ancient Black Dragon;Gargantuan;Dragon;chaotic evil;22;367;27;8;14;2;25;7;16;3;15;2;19;4;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 26;Common, Draconic;21;0;9;14;0;9;11;40;40;80;0;0;3;0;16;9;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/black-dragon.jpg;black-dragon.jpg
14;Ancient Blue Dragon;Gargantuan;Dragon;lawful evil;22;481;29;9;10;0;27;8;18;4;17;3;21;5;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 27;Common, Draconic;23;0;7;15;0;10;12;40;0;80;0;40;3;0;17;7;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/blue-dragon.jpg;blue-dragon.jpg
15;Ancient Brass Dragon;Gargantuan;Dragon;chaotic good;20;297;27;8;10;0;25;7;16;3;15;2;19;4;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 24;Common, Draconic;20;0;6;13;0;8;10;40;0;80;0;40;3;9;14;6;10;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/brass-dragon.jpg;brass-dragon.jpg
16;Ancient Bronze Dragon;Gargantuan;Dragon;lawful good;22;444;29;9;10;0;27;8;18;4;17;3;21;5;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 27;Common, Draconic;22;0;7;15;0;10;12;40;40;80;0;0;3;0;17;7;0;10;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/bronze-dragon.jpg;bronze-dragon.jpg
17;Ancient Copper Dragon;Gargantuan;Dragon;chaotic good;21;350;27;8;12;1;25;7;20;5;17;3;19;4;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 27;Common, Draconic;21;0;8;14;0;10;11;40;0;80;40;0;3;0;17;8;0;0;11;0;0;0;0;0;https://www.aidedd.org/dnd/images/copper-dragon.jpg;copper-dragon.jpg
18;Ancient Gold Dragon;Gargantuan;Dragon;lawful good;22;546;30;1;14;2;29;9;18;4;17;3;28;9;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 27;Common, Draconic;24;0;9;16;0;10;16;40;40;80;0;0;3;0;17;9;16;10;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/gold-dragon.jpg;gold-dragon.jpg
19;Ancient Green Dragon;Gargantuan;Dragon;lawful evil;21;385;27;8;12;1;25;7;20;5;17;3;19;4;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 27;Common, Draconic;22;0;8;14;0;10;11;40;40;80;0;0;3;0;17;8;11;10;11;0;0;0;0;0;https://www.aidedd.org/dnd/images/green-dragon.jpg;green-dragon.jpg
20;Ancient Red Dragon;Gargantuan;Dragon;chaotic evil;22;546;30;1;10;0;29;9;18;4;15;2;23;6;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 26;Common, Draconic;24;0;7;16;0;9;13;40;0;80;40;0;3;0;16;7;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/red-dragon.jpg;red-dragon.jpg
21;Ancient Silver Dragon;Gargantuan;Dragon;lawful good;22;487;30;1;10;0;29;9;18;4;15;2;23;6;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 26;Common, Draconic;23;0;7;16;0;9;13;40;0;80;0;0;3;11;16;7;0;0;0;11;0;0;0;0;https://www.aidedd.org/dnd/images/silver-dragon.jpg;silver-dragon.jpg
22;Ancient White Dragon;Gargantuan;Dragon;chaotic evil;20;333;26;8;10;0;26;8;10;0;13;1;14;2;Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 23;Common, Draconic;20;0;6;14;0;7;8;40;40;80;0;40;3;0;13;6;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/white-dragon.jpg;white-dragon.jpg
23;Androsphinx;Large;Monstrosity;lawful neutral;17;199;22;6;10;0;20;5;16;3;18;4;23;6;Truesight 120 Ft., passive Perception 20;Common, Sphinx;17;0;6;11;9;10;0;40;0;60;0;0;3;0;10;0;0;0;0;9;15;0;0;0;https://www.aidedd.org/dnd/images/androsphinx.jpg;androsphinx.jpg
